ACN,date,year_month,year,month,local_time,locale,state,altitude_agl,altitude_msl,flight_conditions,weather,operator,make_model,flight_phase,anomaly,detector,when_detected,result,contributing_factors,primary_problem,event_type,pilot_action,severity,narrative_1,narrative_2,synopsis
1508637,201801,2018-01,2018,1,1201-1800,SPI.Airport,IL,,2200.0,Marginal,Snow,Military,F/A 18 Hornet/Super Hornet,Initial Approach; Final Approach,Conflict Airborne Conflict; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Weather / Turbulence,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,Human Factors; Weather; Procedure,Human Factors,Weather / Turbulence Encounter,ATC Intervention / Vectoring,Medium,A snow shower had just moved over the airport and was continuing towards the final of the arrival aircraft. Visibility was reduced to about 4 miles. The cloud layer was lowering to a point where the Visual Approach was going to be questionable. I wanted to give the two aircraft an ILS approach. The two aircraft insisted on a Visual Approach. The weather was above visual minimums; so both aircraft where on vectors to initial to the same runway. When the first aircraft was talking to the Tower; he slowed more than an F18 going to initial should. The second F18 unexpectedly increased his speed to 400 knots and caught the lead aircraft on final.I think what happened was the first aircraft slowed down to land instead of going to initial. Which was 60 knots slower than expected. The second aircraft increased his speed 170 knots more than expected. The pilots need to explain their operation to air traffic better or take our speed restrictions.,,SPI TRACON Controller reported an aircraft on final approach slowed unexpectedly causing them to have insufficient spacing on final.
1508657,201801,2018-01,2018,1,0601-1200,FLL.Airport,FL,,39000.0,VMC,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,Cruise,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Loss Of Aircraft Control; Inflight Event / Encounter Weather / Turbulence,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control; Flight Crew Returned To Clearance,Procedure; Human Factors; Weather,Human Factors,Loss of Control,Regained Aircraft Control,High,We were at FL390; on course; [and] there were rain showers and convective activity in the vicinity of FLL at departure time. We were established on course and nearing the end of the convective area. We were approaching a very broad area of clouds; quite 'flat' on top; and not the typical appearance of any convective cell with vertical development. We had asked for a slight deviation from course (approximately 10 degrees left); to 'top' the cloud layer at its lowest point.The HUD indicated that we would just 'skim' the top of this area; Radar was on and did not show any cell development using vertical-tilt mapping. I had the Flight Attendants remain in their seats since departure and updated them several times on suspected ride conditions; seat belt sign was on.We flew through the upper reaches of this broad cloud layer; and experienced immediate severe turbulence; including an MMO (Maximum Mach Operating Speed) exceedance (clacker); accompanied by gains and loss of altitude. Airspeed then started to deteriorate; and the First Officer manually pitched down to prevent a high altitude stall event. Eventually; we recovered; but had lost approximately 800 feet.,,Air carrier crew of a large turbojet reported entering the tops of clouds in an area of convective weather. Aircraft was briefly upset; lost airspeed and altitude; but was eventually recovered.
1508988,201801,2018-01,2018,1,0601-1200,ZZZZ.TRACON,FO,,6000.0,,Turbulence,Air Carrier,B767-300 and 300 ER,Climb,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Inflight Event / Encounter Weather / Turbulence,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control,Weather,Weather,Weather / Turbulence Encounter,Regained Aircraft Control,Medium,Storm with high wind and precipitation forecasted to be on airfield at departure time. Efforts for early go during rapidly degrading weather conditions; resulted in an on-time push. At Runway 32; when lined up and waiting; reported wind/gust were in excess of 30 knots with 35 knots gusts; with Tower concurring; we remained in position for 12 minutes where reported crosswind was now under 29 knots max. An aircraft ahead of us; as well as two more that departed on the (too short for us) runway 28 reported to the Tower; no wind shear experienced. The takeoff; under the circumstances; was normal. Moderate chop to light turbulence was encountered from lift off through 6000 feet. I left my high lift devices in place through the procedure; with a 210 knots max in the initial turns. We were cleared to FL090 for crossing traffic. While proceeding outbound; we were passing 8500 feet in clean configuration at 240 knots. Here we encountered severe turbulence with a massive shear of over 60 knots. Speed went immediately up in excess of 300 knots; red stall margin raised up to the indicated airspeed with PLI (Pitch Limit Indicator) appearing on top of aircraft on ADI (Attitude Indicator). I immediately put throttles manually to max power while keeping wings level and slightly adjusting my pitch with stick shaker activating no less than 3 times at speeds as high as 305 knots with a slightly positive deck angle accompanied by an immeasurable vertical sink rate; we went from at least 8500 feet down to 6000 feet. This was not just a challenge for us; but quite alarming as the 21-mile segment we were on; had a MEA of 7000 feet. My map range was still at 10 miles from takeoff. The terrain display remained green as I looked at it and stayed so during the escape procedure. First Officer's radar display showed heavy precipitation in all quadrants. These events were promptly reported by First Officer to ATC (severe turbulence unable to maintain altitude). Conditions were violent and required complete focus by all 3-cockpit crewmembers. Once through FL165 we cleared clouds and turbulence. Aircraft wind shear/predictive wind shear warning system did not sound or display. After clearing weather; and assessing that no major malfunctions on aircraft systems; EICAS not showing an over boost of any kind in either engine; and most importantly; no injuries were reported to passengers or crew; the decision was made to continue. Pre-departure Public Address included warning of rough air and directive of crew to remain seated until advised otherwise.,Airspeed sheared to 300 knots and we lost 2500 feet in altitude (that loss of altitude put us around 6500 feet; which was still 2000 feet above the minimum sector altitude on that portion of the departure). First Officer told departure controller that we were unable to maintain our altitude due to severe turbulence. Pilot Flying flew the aircraft by hand through the area to climb us out of the low-level weather using our windshear escape procedure. Terrain displayed green terrain with no conflicts and radar showed heavy rain all over the area.... The aircraft windshear system never reported a windshear to us on departure but we recognized it and flew out of it.,B767-300 flight crew reported encountering windshear and severe turbulence after takeoff.
1509007,201801,2018-01,2018,1,0601-1200,ZZZ.Airport,US,,36000.0,VMC,,Air Carrier,MD-11,Cruise,Aircraft Equipment Problem Less Severe; Deviation - Altitude Excursion From Assigned Altitude,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Flight Crew Overcame Equipment Problem; Flight Crew Landed in Emergency Condition; Flight Crew Requested ATC Assistance / Clarification; General Maintenance Action,Aircraft; Human Factors,Aircraft,Altitude Deviation,Overcame Equipment Problem,Medium,While cruising at FL360 enroute we received a Cabin Altitude warning and noted the cabin altitude climbing past 10;000 ft. I was the pilot flying at the time of the warning. The Captain and I donned our oxygen masks and the Captain took control of the aircraft to start a descent. I took control of the radios and advised [Center] that we were descending out of FL360 to 10;000 ft with a cabin pressurization problem. During the descent the cabin pressure slowly decreased below 10;000 ft and eventually stabilized at approximately 1;000 ft as we leveled at 12;000 ft (assigned altitude from ARTCC). We completed the Cabin Altitude and Emergency Descent checklists during the descent and [advised ATC]. The Captain sent an ACARS message to the company and provided ARTCC with a phone number to call to get hazardous cargo information. We continued the flight at 12;000 ft and landed without issue.After landing; maintenance informed us the CAC (Center Accessory Compartment) door was not fully seated and the door seal was protruding from the door. They believed this to be the cause of the pressurization loss.,,MD-11 flight crew reported a loss of pressurization at cruise altitude that resulted in a descent to 12;000 feet.
1509024,201801,2018-01,2018,1,1801-2400,I90.TRACON,TX,,6000.0,VMC,,Air Carrier,Regional Jet 700 ER/LR (CRJ700),Initial Approach,Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Person Flight Crew,In-flight,Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance; Flight Crew Became Reoriented,Environment - Non Weather Related; Human Factors,Human Factors,Altitude Deviation,Became Reoriented,Medium,On arrival into IAH we checked on with the final approach frequency and stated we were descending through 7;200 on the DRLLR 5 arrival. We had the DRLLR 5 with the 26R ILS loaded into the FMS. The approach controller assigned us on the check in RWY 26L. We immediately switched the FMS to ILS 26L and inserted DOMNO behind our course but we were already level at 6000 ft for the 26R transition. While we were verifying our new Course and altitude on the chart. (Course was unchanged; Altitude should have been 7000 for 26L vs 6000 for 26R) we were assigned to fly heading 190 and descend to 4000 for vectors to the visual for 26L. The late change from 26R to 26L caused us to change final descent altitudes on the arrival and caused us to be at the wrong altitude for our transition. Speed and Course were unchanged and unaffected but altitudes are different depending on the runway assigned. The lack of catching the difference in the arrival briefing caused us not to be aware of the difference ahead of time until the change was actually given and assigned. By the time we caught the difference after making the change we were already level at the lower altitude and ATC was assigning us lower and a turn off the arrival for the visual approach to the runway. A more in depth brief of the difference along the whole arrival so that we are both aware of the changes that could occur with different runways. Verifying altitudes for both or all optional runways along the arrival to confirm any changes that may result of a runway change.,,CRJ-700 pilot reported an altitude overshoot during descent due to a late runway change.
1509028,201801,2018-01,2018,1,1801-2400,IAH.Airport,TX,,,,,Air Carrier,Regional Jet 900 (CRJ900),Descent,ATC Issue All Types; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Returned To Clearance,Environment - Non Weather Related; Human Factors,Human Factors,Track / Heading Deviation,Returned to Clearance,Low,On the descent into IAH; we were originally assigned ZEEKK2 arrival and runway 26R; on frequency change we were assigned the DOOBI2 arrival runway 27. On the next frequency change; we were then assigned back to direct AEX. ZEEKK2 arrival. When checking in with Approach they stated that we were on the wrong Runway transition for 26L. The controller issued a heading for the new runway 26L. Landed; No further incident.We discussed the incident upon shutdown; neither of us recall a runway change on the last Change to the Arrival.It did not help; with multiple changes in a high workload environment.,,CRJ-900 Captain reported confusion on approach after multiple arrival and runway changes.
1509252,201801,2018-01,2018,1,1201-1800,KZAK.ARTCC,HI,,27000.0,VMC,,Air Carrier,A321,Cruise,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Speed All Types; Inflight Event / Encounter Weather / Turbulence,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action; General Physical Injury / Incapacitation,Weather,Weather,Weather / Turbulence Encounter,Took Evasive Action,Medium,At FL270 approximately 200 nm west of FLITY; we encountered severe turbulence in clear air; with no warning. Flight attendants were immediately seated; and the seat belt sign was already on due to intermittent light to moderate chop. We experienced altitude excursions of over 400 ft above and below cruise altitude; plus and minus 20 KIAS from selected airspeed of 290; and 30 deg of roll right and left. Being unable to contact San Francisco ARINC in a timely manner; we turned right to a 15 nm offset; and started a descent; notifying other traffic on guard frequency of the turbulence; and our intentions. We [advised ATC] when we were finally able to contact San Francisco ARINC; and requested they notify [Company] of our situation. ATC had by then responded to our initial request for lower altitude advising that it was not available. The turbulence stopped around FL230 and it was very smooth at FL220; where we leveled off. Total time in the turbulence was around 10 minutes. After about 5 minutes we were cleared direct to FLITY with a block altitude of FL220-240. Once back on a clearance with an assigned altitude and free of the turbulence; we proceeded on to [the destination] uneventfully. No passengers reported injuries. Three Flight Attendants were in the aft galley; where there are only two FA (Flight Attendant) jump seats. Number 3 FA; who could not get to her cabin jump seat; instead sat on the other's laps and held on; reported bruising in her ribs from contact with something during the event. I understand she is filing an Injury on Duty report. No damage was reported in the cabin; and there were no warnings or ECAM messages other than the altitude deviations mentioned earlier. My thanks and complements to FO (First Officer) for his input and assistance; and the cabin crew for taking care of some very sick and apprehensive passengers. On deplaning; everyone was in a good mood; although happy to be on the ground.,,A321 Captain reported a Flight Attendant was injured after encountering severe clear air turbulence.
1509471,201801,2018-01,2018,1,1801-2400,NCT.TRACON,CA,,8000.0,IMC,,Air Carrier,A319,Initial Approach,ATC Issue All Types; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification,Procedure; Human Factors,Procedure,Altitude Deviation,Requested ATC Assistance,Medium,I was operating as the PF (Pilot Flying) on this sector and we were flying the DYAMD 3 arrival; approaching the ARCHI intersection. Shortly before arriving at the intersection; NORCAL Approach instructed us to 'Fly the ILS 28R after ARCHI.' Normally; in visual conditions when flying the FMS Bridge visual; it is common for ATC to instruct us to 'Intercept the FMS bridge visual routing only' meaning that we will fly the lateral track; but will not descend until cleared by the Controller. On this particular flight; the Controller told us to fly the ILS 28R after ARCHI. The clearance was vague and ambiguous. At the time; we were close to ARCHI and on the glide slope; so I said to my FO (First Officer) that we would just fly the glide slope; but clarify the clearance. My FO was trying to verify the clearance; but the frequency was congested (for the record; the Controller was issuing identical clearances to multiple airplanes on the arrival with the same phraseology). I started on the glide slope when we both agreed that it might be better to hold off on descending before we obtained a specific approach clearance. At the time; I believe we were at about 7;770 ft at ARCHI on the glide slope; but I immediately leveled off and climbed back to 8;000 ft until we received clarification. We were handed off to the final approach Controller and clarified the clearance and he told us to descend to 4;000 ft and to expect the approach clearance shortly. There was no loss of separation and at no time did the Controller query us on the altitude. We continued to an uneventful and stabilized approach.,,A319 Captain reported confusion on approach to SFO regarding an altitude assignment after NORCAL TRACON issued an ambiguous clearance.
1509679,201801,2018-01,2018,1,0001-0600,ZZZ.ARTCC,US,,39000.0,IMC,0,Air Taxi,Learjet 35,Cruise,Aircraft Equipment Problem Less Severe; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance,Automation Aircraft Other Automation; Person Flight Crew,In-flight,Air Traffic Control Issued New Clearance; Air Traffic Control Provided Assistance; Flight Crew Regained Aircraft Control; Flight Crew Overcame Equipment Problem; Flight Crew FLC Overrode Automation; Flight Crew Requested ATC Assistance / Clarification,Aircraft,Aircraft,Altitude Deviation,Regained Aircraft Control,Medium,While level at FL390; the altitude hold function on the autopilot disengaged and the airplane began to pitch up rapidly causing an altitude deviation. The crew disengaged the autopilot and began to correct the altitude deviation. While correcting; the airplane descended below and above FL390 up to 500 feet. After determining there was a problem with the autopilot; the crew requested a lower altitude outside of RVSM airspace. The crew was able to stabilize the aircraft at a lower altitude and land the aircraft safely.,,A Learjet 35 First Officer reported that the autopilot disengaged and the airplane began to pitch up rapidly causing an altitude deviation.
1510022,201801,2018-01,2018,1,1201-1800,ZOA.ARTCC,CA,,26800.0,IMC,,Air Carrier,Large Transport; Low Wing; 2 Turbojet Eng,Descent,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Altitude Undershoot; Deviation - Altitude Crossing Restriction Not Met; Deviation / Discrepancy - Procedural Published Material / Policy,Person Air Traffic Control,In-flight,Air Traffic Control Separated Traffic; Air Traffic Control Issued New Clearance; Flight Crew Requested ATC Assistance / Clarification,Human Factors; Company Policy; Procedure; Airspace Structure,Procedure,Altitude Deviation,Requested ATC Assistance,Low,Aircraft X was descending via SUTTR into SMF via the AIT procedure following another aircraft into SMF. Aircraft Y was descending VIA DYAMD into SFO. I was by myself working a number of aircraft and was not paying close attention to Aircraft X. I was assuming he would make the crossing restrictions on the SUUTR arrival. The important one is FOOLZ at FL210 or below. One minute from losing possible separation; NCT sector SUNOL called me and said Aircraft X was going to be high for all the restrictions. She mentioned he was too high and too fast. Aircraft X was out of FL268 at this point; so I hung up and immediately stopped Aircraft Y at FL270. Aircraft X crossed FOOLZ at 24700 which is 3700 feet too high. Aircraft Y could legally be down at FL220 at that point. This is very dangerous.I have written a report on this issue before where the SFO arrival was already down at FL220 and I had to turn him hard to ensure separation. There is 5.1 miles and 1000 ft difference in the crossing restrictions on the SUUTR and DYAMD arrivals. This is way too close. What would have happened if my SFO arrival had been down at FL220 and [the other aircraft] is in max descent rate trying to make the restriction? In the situation yesterday they easily could be at the exact same place at the same altitude and who knows if TCAS cold save it.The chief pilot for [Aircraft X's airline] called and said he would have a discussion about letting ATC know earlier about missing restrictions. He also mentioned this is happening a lot and blamed it on the winglets on the B737 saying it is much more difficult to descend quickly when the airspeed is pulled back. I believe also that the previous sector may have issued the descent a little late. Again; CHANGE THE CROSSING RESTRICTIONS TO AT LEAST 10 MILES APART ON THESE TWO ARRIVALS. It is only a matter of time until there is an extremely dangerous confliction with these two procedures that results in loss of life.,ATC held us up almost 20 miles past top of descent and then slowed us to Mach .76. Later; he instructed us to 'descend via' at which point we were 6000 feet above the path. After a frequency change; we told ATC we were unable to comply with the crossing restrictions due to being held up and slowed. On the next frequency we were given a phone number to call because ATC was upset we were unable to descend via. Frankly; this was 100 percent their fault and it was ludicrous that they wanted to talk to us about it.,ZOA Controller and air carrier First Officer reported the aircraft was issued a descent clearance too late to comply with a crossing restriction which caused a conflict with other traffic.
