flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump,flight_date,flight_year,flight_month,flight_day,year_month,problem_category,diverted_airport,diverted_flag,fueldump_flag
ARG1511_20180101,ARG1511,AR1511,e06442,LV-FQB,B738,SACO,SABE,SABE,,,,,,,,,2018-01-01,2018,1,1,2018-01,unspecified,,False,False
DAL14_20180101,DAL14,DL14,a14c29,N183DN,B763,KATL,,EDDF,,,,,,,,,2018-01-01,2018,1,1,2018-01,unspecified,,False,False
JBU263_20180108,JBU263,B6263,aa600a,N768JB,A320,KJFK,,KSEA,,,,,,,,,2018-01-08,2018,1,8,2018-01,unspecified,,False,False
DAL65_20180108,DAL65,DL65,ab2855,N818NW,A333,KATL,KLAX,KLAX,,,,,,,,,2018-01-08,2018,1,8,2018-01,unspecified,,False,False
EDW24_20180111,EDW24,WK24,4b1901,HB-JMF,A343,LSZH,LSZH,MMUN,LSZH,engine,return,unknown,4b382175,engine,return,unknown,2018-01-11,2018,1,11,2018-01,engine_problem,LSZH,True,False
ASA111_20180112,ASA111,AS111,a602ab,N487AS,B739,KLAS,,PANC,,,,,,,,,2018-01-12,2018,1,12,2018-01,unspecified,,False,False
ONE8511_20180113,ONE8511,O68511,e4919d,PR-OCX,A332,KMIA,,SBGR,,,,,,,,,2018-01-13,2018,1,13,2018-01,unspecified,,False,False
BAW882_20180115,BAW882,BA882,406532,G-EUYM,A320,EGLL,,UKBB,EDDT,medical,diverted,unknown,,,,,2018-01-15,2018,1,15,2018-01,medical_emergency,EDDT,True,False
ENY3342_20180117,ENY3342,AA3342,a272b8,N257NN,E75L,KDFW,,KLIT,,,,,,,,,2018-01-17,2018,1,17,2018-01,unspecified,,False,False
WJA506_20180122,WJA506,WS506,c0499b,C-GBWS,B736,CYXE,,CYYZ,,,,,,,,,2018-01-22,2018,1,22,2018-01,unspecified,,False,False
ASA619_20180122,ASA619,AS619,a28a2c,N263AK,B739,KLAS,KSEA,KSEA,,,,,,,,,2018-01-22,2018,1,22,2018-01,unspecified,,False,False
QXE2782_20180124,QXE2782,AS2782,a83920,N629QX,E75L,KSFO,,KMCI,,,,,,,,,2018-01-24,2018,1,24,2018-01,unspecified,,False,False
